 Name, City, IATA, Latitude, Longitude
Oberpfaffenhofen Airport,Oberpfaffenhofen,OBF,48.081402,11.2831
Straubing Airport,Straubing,RBM,48.90083313,12.51666737
Vilshofen Airport,Vilshofen,\N,48.63499832,13.19555569
Leutkirch-Unterzeil Airport,Leutkirch,\N,47.85889053,10.01416683
Friedrichshafen Airport,Friedrichshafen,FDH,47.67129898,9.511489868
Schwerin Parchim Airport,Parchim,SZW,53.426998,11.7834
Stendal-Borstel Airport,Stendal,\N,52.62888718,11.81861115
Aalen-Heidenheim/Elchingen Airport,Aalen-heidenheim,\N,48.77777863,10.26472187
Bayreuth Airport,Bayreuth,BYU,49.985001,11.64
Burg Feuerstein Airport,Burg Feuerstein,URD,49.79416656,11.13361073
Hof-Plauen Airport,Hof,HOQ,50.28861237,11.85638905
Haßfurt-Schweinfurt Airport,Hassfurt,\N,50.01805496,10.52944374
Koblenz-Winningen Airfield,Koblenz,\N,50.325558,7.528611
Trier-Föhren Airport,Trier,\N,49.863888,6.7875
Speyer Airfield,Speyer,\N,49.304722,8.451389
Zweibrücken Airport,Zweibruecken,ZQW,49.2094,7.40056
Donaueschingen-Villingen Airport,Donaueschingen,ZQL,47.97333145,8.522221565
Freiburg i. Br. Airport,Freiburg,\N,48.02277756,7.832499981
Mengen-Hohentengen Airport,Mengen,\N,48.05389023,9.372777939
Adolf Würth Airport,Schwaebisch Hall,\N,49.11833191,9.783888817
Finsterwalde/Schacksdorf Airport,Soest,\N,51.607498,13.743611
Braunschweig-Wolfsburg Airport,Braunschweig,BWE,52.319199,10.5561
Kassel-Calden Airport,Kassel,KSF,51.417273,9.384967
Hildesheim Airport,Hildesheim,\N,52.18138885,9.946389198
Bremerhaven Airport,Bremerhaven,BRV,53.506943,8.572778
Emden Airport,Emden,EME,53.391109,7.2275
Leer-Papenburg Airport,Leer,\N,53.27194214,7.44166708
Wilhelmshaven-Mariensiel Airport,Wilhelmshaven,WVN,53.50222015,8.052222252
Borkum Airport,Borkum,BMK,53.59639,6.709167
Norderney Airport,Norderney,NRD,53.70694351,7.230000019
Flensburg-Schäferhaus Airport,Flensburg,FLF,54.7733345,9.378889084
Rendsburg-Schachtholm Airport,Rendsburg,\N,54.22000122,9.599444389
Westerland Sylt Airport,Westerland,GWT,54.91320038,8.340470314
Ämari Air Base,Armari Air Force Base,\N,59.26029968,24.20849991
